Magazine,AdRevenue,AdPages,SubRevenue,NewsRevenue
Premiere,21290,412.81,8494,3120
Coastal Living,21363,674.82,7437,2458
Sports Illustrated For Kids,21715,353.19,21301,1683
First For Women,21883,573,4534,39539
Penthouse,22656,481.37,9430,31169
Nickelodeon,22715,408.4,18236,3774
Texas Monthly,22784,1482.2,4860,1568
Runner's World,23473,458.01,10826,3804
Macworld,23957,770.64,11464,3742
Skiing,24117,637.35,5772,634
People en Espanol,24483,670.19,4409,3984
The Atlantic Monthly,25253,531.99,9395,2916
Architectural Record,25554,1645.21,6490,380
Transworld Skateboarding,26263,2884.59,2002,3908
Electronic Gaming Monthly,26507,1387.7,9485,8888
T & L Golf,26664,526.04,10533,1743
Details,26750,831.31,5172,2096
Wired,27248,839,11264,3692
Jet,28230,1047,30317,9644
Hot Rod,28736,649.05,11134,4342
Tennis Magazine,29580,475.97,12595,583
The Sporting News,29690,741.43,49206,4358
More,30910,562.21,13497,4333
The Source,31394,1187.9,2313,17787
Star Magazine,34132,825.52,15002,129810
Ski,34212,868.57,6467,761
Business 2.0,34295,691.7,16243,1099
Advertising Age,34315,1284.65,7445,259
Spin,34773,769.07,5402,3573
Jane,35481,843.9,10691,4278
Cycle World,35611,1041.18,5423,3798
Black Enterprise,35640,987.05,9661,1363
Metropolitan Home,36934,616.27,9951,2743
Men's Fitness,37864,810.37,12821,4480
Sound & Vision,38198,644.01,10074,1287
Boating,38384,1248.31,5048,1419
Family Handyman,39432,590.11,21477,3249
Soap Opera Digest,39716,1369.04,51072,36002
Lucky,39831,1012.7,7086,8061
Kiplinger's Personal Finance Magazine,41680,597.93,23812,1286
CosmoGirl,43233,683.39,10196,11626
Midwest Living,44088,729.03,14976,1924
Popular Science,44591,630.28,26595,7318
SmartMoney,45474,747.55,18078,2331
Computer Shopper,45540,1554.82,10298,5501
Elle Decor,47129,1021.88,10353,3673
Barron's,47325,1608.24,30821,14816
Fast Company,47548,805.27,17043,1356
Entrepreneur,47988,1332.25,10263,2006
The National Enquirer,48180,1004.49,21012,163193
Home,48291,681.7,22877,2235
House & Garden,48735,1003.25,15566,3864
Stuff,49324,756.54,7217,19469
Men's Journal,51408,921.51,10121,4481
This Old House,52089,896.13,17184,3567
Child,52447,814.7,11895,694
Real Simple,53227,878.62,16063,13246
Field & Stream,53541,614.38,24271,1161
Bridal Guide,54137,2315.66,805,6382
FHM,54490,839.23,9306,19289
Outside,54909,878.72,10552,2831
Smithsonian,58264,607.98,57065,355
National Geographic,60640,394.24,198002,16053
Ebony,61923,1107.4,35074,8165
Gourmet,62020,1241.11,16892,4803
Automobile Magazine,62755,851.86,11295,3728
Muscle & Fitness,63096,1775.11,7471,14146
Traditional Home,63577,772.64,14021,8507
Esquire,64702,892.17,10311,3360
Food & Wine,65500,1226.15,30684,3558
Essence,66160,1178.35,17918,8870
Popular Mechanics,66196,821.15,20871,7353
Us Weekly,66336,1069.3,38744,66438
Health,66361,975.93,24629,4376
Family Fun,68269,719.21,22386,1311
Allure,70357,1194.7,9810,10609
New York,71376,2512.36,17179,3277
Inc.,72160,868.87,12727,699
PC World,72522,1297,24454,10142
Playboy,72612,583.72,85690,21224
Road & Track,73312,1190.22,13814,7439
Conde Nast Traveler,74030,1371.03,14841,1530
Bon Appetit,75512,1131.7,22465,8373
Teen People,76829,1004.7,17427,15306
Popular Photography,77453,1668.86,8382,1568
Cooking Light,77538,1257.82,28446,12342
Vibe,78434,1175.01,7775,7038
Fitness,78908,988.47,18754,13220
Modern Bride,80715,2428.52,1932,8260
Sunset,81944,1066.63,32438,6768
Self,84921,1146.51,14913,14378
Town & Country,85199,1619.15,8859,2976
Architectural Digest,88365,1716.23,27747,9828
Shape,88815,989.09,27368,19063
House Beautiful,90012,1039.56,14953,5929
Men's Health,92433,847.83,31299,17579
Prevention,92914,990.92,61057,13307
Golf Digest,94736,1429.38,39544,7142
Bride's Magazine,96367,2805.44,1767,7114
Country Home,98231,864.39,19705,9252
Harper's Bazaar,99841,1436.15,9964,6721
Travel & Leisure,100160,1508.65,36219,1841
YM,100208,1017.37,39491,15730
W,102536,1858.48,12318,2475
GQ,104169,1753.07,11821,7654
Elle,108508,1534.35,20136,11823
Country Living,110147,1121.05,30787,15019
Motor Trend,110505,919.29,20390,7206
Marie Claire,110900,1626.8,6265,21065
Car & Driver,115681,1096.6,26762,8013
Seventeen,120826,1342.12,41713,17632
The New Yorker,123925,2231.48,44491,8045
Redbook,127944,1262.79,29028,17296
Money,131234,919.18,74683,6236
Parenting,133532,1150.45,31039,2201
Vanity Fair,139555,1968.43,17597,19053
Golf Magazine,145163,1359.1,26004,5102
Parents,151361,1448.26,31954,3870
Southern Living,156591,1491.05,83137,16503
Rolling Stone,159223,1530.35,21189,15384
Glamour,159288,1541.17,21453,40460
PC Magazine,165554,2054.45,47044,7065
ESPN The Magazine,168870,1458.7,39191,4440
"O, The Oprah Magazine",179079,1426.13,36983,30266
Maxim,179665,1223.7,29862,40582
Vogue,187789,2889.96,21448,20655
U.S. News & World Report,192803,1415,88705,9886
Ladies' Home Journal,200831,1215.49,63585,10592
Entertainment Weekly,217285,1864.01,94675,16092
Martha Stewart Living,234363,1887.14,55123,22267
Family Circle,253921,1330.15,63059,57825
In Style,264471,3030.54,19576,46522
Reader's Digest,266856,979.66,315868,23531
Woman's Day,267277,1502.5,51997,45780
Forbes,281021,3504.6,53033,5368
Cosmopolitan,281640,1854.38,29761,97134
Fortune,293708,3331.42,48115,8458
Good Housekeeping,343254,1527.76,73899,29700
BusinessWeek,351561,3333.13,57332,7916
TV Guide,352073,2457.94,466572,85884
Newsweek,389329,1979.1,121527,34272
Better Homes & Gardens,554786,1910.71,138675,11093
Time,568993,2350.6,228279,39094
Sports Illustrated,644386,2498.59,258634,16371
People,713639,3697.91,236283,249553
