Yi	ni	x1i	x2i
72.87	23	0.304	0.043
73.36	6	0	0
221	6	0	0
69.97	14	0.071	0.071
73.99	22	0.273	0.091
77.53	8	0.125	0.25
85.27	19	0.053	0.053
136.58	8	0	0
64.57	12	0.083	0.167
75.05	11	0	0
91.19	12	0.083	0.083
204.41	10	0.2	0
64.15	11	0	0.182
71.05	15	0.067	0
75.1	41	0.683	0.049
80.23	31	0.839	0.065
90.37	10	0	0
58.76	7	0	0.143
59	7	0	0.143
61.22	7	0	0.143
65.18	6	0	0.167
78.15	9	0	0
118.63	19	0.474	0
75.87	9	0	0
78.45	9	0	0
81.27	6	1	0.167
137.84	14	0	0
60.78	5	0	0.2
61.74	9	0	0.111
66.2	11	0	0.182
79.25	22	0.091	0.091
81.35	17	0.118	0.118
237.46	14	0.214	0
53.35	5	0	0.2
68.6	18	0.778	0
78.96	7	0	0
61.77	14	0.071	0.143
58.48	9	0.667	0.222
60.1	27	0.111	0.222
68.7	13	0.154	0
73.18	18	0.556	0.111
74.49	7	0	0.429
71.44	14	0.071	0.143
75.02	13	0.462	0.077
75.03	15	0	0
79.44	8	0	0
82.48	5	0.2	0
64.49	18	0	0.111
76.3	7	0	0
61.06	7	0	0.143
61.71	9	0.222	0.111
68.16	11	0	0.091
68.96	16	0.125	0.125
69.76	36	0.917	0
69.99	9	0	0.111
70.31	6	0	0.167
76.29	10	0	0
146.91	7	0	0
55.32	12	0	0.25
67.06	18	0	0.056
75.59	16	0	0.063
77.2	12	0	0.083
32.21	13	0	0.385
81.57	6	0	0.167
83.29	8	0	0.125
109.36	22	0.818	0
235.2	14	0.143	0
59.79	11	0.091	0
64.31	13	0	0.077
65.53	10	0.1	0.1
69.95	8	0	0.125
75.36	35	0.029	0.029
76.03	10	0	0.1
98.93	6	0	0
69.57	6	0.667	0
189.88	15	0.067	0
57.06	7	0	0.143
76.41	9	0	0.111
89.04	10	0	0.1
29.76	19	0	0.158
77.29	20	0	0.05
77.77	10	0	0.2
128.8	30	0.267	0.067
60.52	26	0.308	0.385
153.81	10	0	0.1
58	10	0	0.2
71.36	10	0	0.3
62.41	6	0	0.167
72.64	9	0.111	0.111
77	9	0	0
55.74	7	0	0
66.72	17	0.765	0
75.26	7	0.429	0.143
81.72	16	0	0.063
100.87	31	0.387	0.226
170.17	8	0	0
60.99	10	0	0.1
69.49	10	0	0.1
73.7	19	0.105	0.053
78.36	14	0	0
80.38	10	0.1	0.1
84.97	20	0.1	0.15
88.89	15	0.2	0.067
103.18	8	0	0
66.68	16	0	0.5
55.76	7	0	0.143
57.61	21	0.048	0.476
70.92	7	0	0
78.61	7	0	0
106.56	6	0	0.167
155.11	12	0	0
65.54	6	0	0
70.86	18	0.056	0.167
73.61	12	0	0
76.41	8	0	0
73.54	6	0	0.167
83.17	35	0.486	0.057
116.65	18	0	0
56.75	21	0	0.095
83.15	11	0	0
89.32	21	0.476	0.143
53.34	15	0	0.533
55.21	7	0	0.143
60.01	13	0	0
65.48	12	0.25	0.333
66.25	12	0	0.167
68.13	8	0	0.125
70.7	8	0	0
70.89	8	0	0.125
76.77	19	0.421	0.053
57.56	12	0	0.167
82.35	7	0.286	0.143
73.93	12	0	0
79.67	10	0.1	0.2
58.5	15	0	0.2
61.58	10	0	0
77.16	9	0.111	0.111
71.1	11	0.455	0.091
77.99	12	0	0
218.11	11	0.273	0
56.54	8	0	0.125
64.55	11	0.182	0.455
72.76	12	0	0
75.25	5	0.4	0
85.46	7	0	0
75.96	5	0	0.2
147.49	6	0	0
60.86	9	0	0.333
77.11	12	0	0
65.93	6	0	0.167
76.1	11	0	0
76.11	63	0.905	0.048
83.06	14	0.643	0
174.91	8	0.375	0
57.39	10	0	0
64.29	14	0.071	0.143
67.5	11	0.455	0.364
75.49	17	0.176	0.118
93.56	11	0	0
56.68	10	0	0
261.1	9	0.222	0
285.69	5	0.2	0
64.86	19	0.579	0
72.17	15	0.333	0.333
82.03	15	0.2	0
99.01	15	0.067	0
81.68	12	0	0
62.17	12	0	0.083
66.53	12	0	0.083
74.24	8	0	0
74.98	5	0.4	0.2
75.09	16	0	0
251.34	12	0.25	0
65.63	14	0	0.071
70.86	11	0	0.091
74.07	5	0	0
60.21	24	0.083	0.542
60.22	10	0.1	0.2
72.96	32	0	0.094
78.44	11	0	0
79.25	11	0	0.182
91.43	5	0.2	0
282.41	7	0.143	0
55.75	14	0	0
60.24	11	0	0.091
66.65	10	0.1	0
69.68	12	0	0.083
76.43	20	0.5	0.05
79.01	9	0	0.111
59.95	56	0.554	0.089
82.84	16	0.25	0.188
70.79	6	0.833	0
70.01	14	0.143	0.143
78.26	5	0	0
81.19	20	0.15	0
59.62	15	0	0.2
71.43	7	0	0
75.59	6	0	0
80.58	13	0.077	0
57.7	8	0	0.375
58.51	6	0	0.167
59.1	10	0	0.2
73.06	12	0.083	0.167
74.96	12	0	0
134	13	0	0
234.05	18	0.111	0
44.64	30	0.067	0.7
81.87	19	0.789	0.053
99.73	8	0.125	0
119.03	10	0	0
178.81	12	0	0.167
56.13	11	0	0.545
71.38	5	0	0
72.18	23	0.696	0
77.1	13	0	0.077
58.46	12	0.083	0
72.49	19	0.737	0.053
80.05	16	0.188	0
86.81	22	0	0.136
245.19	7	0.143	0
62.94	17	0.059	0.176
63.92	16	0	0
76.9	12	0	0
78.52	16	0.063	0
63.69	18	0	0.222
74.29	10	0	0
85.73	6	0	0
98.79	16	0.625	0
43.4	6	0	0.5
60.38	14	0	0.071
65.78	8	0	0
66.93	8	0.125	0
69.82	11	0	0.182
76.37	15	0	0
213.15	9	0	0.111
65.28	9	0	0.111
136.78	12	0	0
157.5	9	0.222	0
475.22	5	0	0
75.42	15	0	0
87.21	16	0.25	0
93.42	46	0.652	0.196
191.86	11	0	0.091
64.37	11	0	0.091
74.43	12	0	0.083
81.33	12	0	0.083
81.91	19	0	0
92.23	11	0	0.091
167.02	13	0.154	0
85.22	16	0	0
61.91	16	0	0.063
60.94	20	0.4	0.25
62.36	8	0	0
66.75	13	0	0.077
72.2	7	0	0.143
75.29	20	0.1	0.05
79.75	6	0	0.167
98.29	7	0	0
62.29	9	0	0.111
78.48	14	0	0.071
57.28	7	0	0
70.11	11	0	0.091
71.03	6	0	0.167
71.98	7	0	0.143
77.14	8	0	0
82.67	9	0	0
69.62	5	0	0
63.22	13	0	0
75.23	14	0	0.071
57.83	12	0.167	0.417
65.52	10	0.2	0.1
68.17	23	0	0.217
66.84	15	0	0.133
164.06	11	0	0
61.19	14	0.071	0
62.96	22	0.045	0
73.72	14	0	0
75.16	46	0.652	0.109
55.17	6	0.167	0.167
61.12	16	0.063	0.438
81.04	14	0	0.071
93.87	15	0	0
27.77	6	0	0.833
55.9	7	0	0
48.24	9	0	0.222
57.08	9	0	0.111
77.17	5	0	0
64.24	21	0.095	0.143
70.98	14	0	0
75.54	12	0	0
77.36	15	0	0
74.65	15	0	0
75.96	26	0.538	0.154
73.82	11	0	0
161.41	8	0.375	0
77.83	19	0.053	0.053
79.51	46	0.522	0.065
80.98	8	0	0.125
62.43	20	0	0.25
64.13	11	0	0
46.63	9	0	0.111
51.18	5	0	0
62.74	16	0	0.063
74.53	31	0.581	0.032
66.86	5	0	0
70.12	27	0.778	0.037
78.9	11	0	0
86.27	8	0.125	0
63.7	8	0	0.125
66	8	0	0.125
75.1	11	0.273	0.273
169.98	18	0.389	0
246.5	9	0.111	0
57.69	13	0.077	0.154
64.45	9	0	0.222
130.82	17	0	0.059
86.33	5	0	0
62.16	16	0	0.25
71.92	14	0	0.143
73.34	13	0	0.154
75.52	18	0	0.056
69.19	20	0.55	0
72.04	18	0.111	0.056
83.19	21	0	0
90.78	22	0.636	0
45.52	36	0	0.694
60.95	12	0	0.083
67.23	14	0	0.429
60.98	5	0	0
76.62	20	0	0.25
79.91	24	0.542	0.042
67.09	7	0	0.143
58.2	8	0	0.375
61.32	13	0	0.231
66.8	11	0.091	0
69.55	21	0	0.19
51.18	7	0	0.143
69.42	11	0	0.182
70.68	31	0.032	0.129
71.92	13	0	0
77.85	12	0	0.083
77.01	5	0	0
70.67	8	0.125	0.25
75.62	7	0	0.143
94.61	11	0	0
63.34	13	0.154	0.231
70.78	36	0.278	0.028
100.04	9	0	0
61.3	18	0	0.167
63.28	19	0	0.105
66.79	22	0	0.045
51.69	6	0	0.333
51.81	11	0	0.273
68.72	24	0	0
77.62	5	0	0
69.66	12	0	0
232.94	19	0.105	0
74.27	19	0.053	0.105
95.1	21	0	0
94.71	13	0	0.077
63.48	24	0.042	0.167
68.66	11	0	0.091
74.32	7	0	0
93.87	8	0	0
100.05	14	0	0.071
66.18	11	0	0.091
68.44	11	0	0
92.24	43	0.628	0.023
60.9	69	0.594	0.101
64.69	11	0	0.091
74.34	18	0	0
74.63	14	0.071	0
67.67	11	0.182	0
69.99	15	0	0.067
70	18	0	0
76.81	12	0	0.083
85.54	9	0	0
112.52	23	0.043	0.13
58.69	13	0	0.154
63.1	33	0.364	0.061
63.3	9	0	0.111
71.77	10	0	0
64.45	15	0	0.133
101.59	24	0.333	0.167
146.11	12	0	0.083
65.88	6	0	0
317.6	14	0.143	0
56.9	14	0	0.286
60.07	13	0	0.077
60.86	9	0	0
65.97	6	0	0
69.99	18	0.333	0
84.52	10	0	0
84.99	14	0.214	0
51.53	5	0	0.4
69	12	0	0.333
188.54	9	0	0
67.18	13	0	0.077
66.89	18	0.444	0.056
75.52	14	0	0
86.59	13	0	0.154
93.5	17	0.176	0.059
45.2	10	0	0.4
71.78	15	0	0.067
57.85	17	0	0.529
97.2	11	0	0
206.55	9	0	0
69.22	14	0	0.071
76.06	16	0	0
84.02	13	0	0
108.97	28	0.643	0.036
70.41	11	0	0
155.5	15	0.133	0
72.59	15	0	0.2
82.79	12	0.083	0.083
83.51	13	0	0.077
83.84	12	0	0
75.7	9	0	0.111
84.87	11	0.091	0.182
116.23	7	0	0
71.27	16	0	0.063
73.34	12	0	0.083
53.12	14	0	0.071
67.3	15	0	0
74.75	15	0.067	0.067
63.78	16	0	0
94.59	18	0.167	0.167
68.96	37	0.649	0.108
69.79	11	0	0
72.79	8	0	0
112.09	20	0	0.05
198.43	12	0.25	0
65.72	17	0	0
76.58	12	0	0
69.32	10	0	0
78.26	11	0	0.091
80.43	15	0	0
136.89	13	0.077	0.077
56.79	29	0	0.207
68.29	19	0	0.053
72.83	15	0	0.2
62.86	23	0	0
65.6	9	0.556	0
69.77	12	0	0.167
80.68	28	0.25	0.036
73.09	14	0	0.214
81.56	5	0	0
62.63	7	0	0
71.56	7	0	0.429
61.4	11	0	0.091
73.46	10	0	0.1
73.73	18	0	0.056
85.99	19	0	0.053
58	20	0	0.15
59.16	9	0.111	0.111
65.86	19	0	0.368
94.89	13	0.077	0.077
81.97	8	0	0
76.6	13	0.077	0
77.86	47	0.894	0.064
80.57	6	0	0
71.83	7	0	0.143
35.21	8	0	0.125
68.13	14	0.071	0.143
68.46	7	0	0
158.32	20	0.05	0
60.54	16	0	0
63.59	28	0.107	0.071
71.31	22	0.045	0.182
198.58	31	0	0
67.64	23	0	0
80.99	20	0	0.1
62.82	8	0	0.25
63.27	7	0	0.429
71.33	14	0	0.071
77.35	26	0	0.077
83.89	16	0	0
65.88	15	0	0.133
69.23	57	0.702	0
69.9	21	0	0.048
70.9	10	0	0
72.94	20	0.1	0.05
76.76	29	0.621	0.069
92.15	10	0.1	0.1
71.54	25	0	0.08
66.44	8	0	0
72.7	17	0.118	0
60.46	17	0.588	0
60.9	16	0	0.063
64.5	26	0	0.115
65.74	11	0	0.091
91.91	20	0.05	0
200.5	16	0.563	0
62.51	12	0	0.167
78.56	18	0	0.056
60.01	15	0	0.067
69.01	14	0	0.143
79.16	25	0	0.04
59.34	20	0	0
74.56	53	0.547	0.038
82.22	26	0.038	0.038
64.27	15	0	0
65.52	17	0	0.059
85.97	16	0	0.125
61.5	6	0	0.333
134.93	12	0	0.083
62.13	12	0	0.083
65.27	13	0	0
68.91	17	0	0.118
73.12	70	0.3	0.014
57.42	9	0	0.111
75.98	34	0	0
65.67	14	0	0.214
68.23	9	0	0.222
73.43	6	0	0
64.2	11	0	0.182
92.41	9	0	0.111
62.18	5	0	0.4
64.29	5	0	0
88.03	13	0	0.154
61.17	10	0	0.1
60.09	18	0	0.167
64.27	13	0.077	0.154
73.97	20	0.25	0
92.53	17	0.118	0.059
58.97	8	0.125	0
53.79	19	0	0.211
64.88	17	0.059	0
69.68	11	0	0.182
59.7	8	0	0
69.21	7	0.571	0.143
183.68	24	0.042	0.042
61.05	23	0	0.217
61.71	16	0	0.063
77.45	12	0	0.083
185.28	15	0.533	0
174.85	8	0.125	0
75.09	29	0.414	0.069
193	23	0	0
64.84	26	0	0.115
68.35	8	0	0
69.3	11	0.091	0
87.59	97	0.598	0.041
80.53	14	0	0.071
115.48	14	0.214	0
65.71	16	0.063	0.313
74.87	5	0	0
45.62	9	0	0.333
255.1	39	0.179	0
57.9	38	0.605	0
71.28	12	0	0
77.64	21	0	0.095
60.62	8	0	0.125
62.82	6	0	0.167
59.63	33	0.091	0.697
64.94	16	0	0
66.96	23	0	0.174
85.22	16	0	0
92.7	14	0.286	0.071
63.59	11	0	0.182
53.71	5	0	0
66.58	22	0	0
63.62	15	0	0
72.99	9	0	0.444
64.8	29	0.034	0.103
68.79	25	0.08	0.2
86.03	10	0	0
64.15	15	0	0.333
65.7	15	0	0.133
76.08	18	0	0
105.48	14	0	0
71	13	0	0.308
77.8	14	0	0.071
64.91	20	0	0.1
69.74	26	0.077	0
63.43	8	0	0.125
65.25	17	0	0
65.29	20	0	0
61.22	20	0	0.05
65.61	24	0	0.042
66.38	18	0	0.056
67.96	19	0	0.053
74.66	18	0	0
75.27	13	0.154	0.077
67.06	9	0	0.111
45.52	7	0	0.429
64.91	11	0	0.182
101.75	26	0.192	0
61.61	30	0.067	0.6
91.01	38	0.395	0.079
61.16	11	0	0.182
79.51	15	0	0.067
102.46	16	0	0.063
70.81	6	0	0.167
177.88	24	0.417	0
63.39	12	0	0.333
72.01	35	0.4	0.143
62.46	21	0	0.143
67.18	22	0	0.091
73.88	48	0.646	0.146
167.41	9	0.333	0
57.83	19	0	0.263
64.57	28	0	0.214
69.25	22	0	0.045
58.52	12	0	0
75.08	13	0	0.077
51.66	9	0	0.333
73.99	13	0.077	0.231
95.94	12	0	0
72.31	38	0.526	0.184
65.33	13	0	0.077
66.95	20	0.15	0.35
70.64	12	0.083	0.25
76.54	13	0	0.077
76.22	12	0	0
57.38	12	0.167	0.333
59.82	7	0	0.143
72.82	32	0.125	0.063
102.9	16	0	0
57.46	10	0	0.2
66.99	23	0	0.174
72.67	17	0	0.059
56.53	6	0	0.333
66.74	16	0	0.063
59.7	12	0	0.167
65.78	8	0	0.125
67.14	18	0	0.333
79.02	25	0.04	0.04
58.39	10	0	0
225.72	64	0.125	0
75.65	8	0	0
58.67	31	0	0.129
63.65	16	0	0.188
67.94	15	0	0
75.19	25	0	0
75.47	37	0.216	0
45.68	5	0	0.2
74.9	6	0	0.167
67.25	13	0	0
67.65	20	0	0.2
70.59	60	0.4	0.333
60.37	11	0.091	0
56.92	6	0	0.333
55.71	19	0	0.316
69.08	22	0	0
69.6	29	0.379	0.172
82.05	12	0.083	0.083
60.71	9	0.222	0.111
32.6	5	0	0.4
65.49	8	0	0.125
77.44	43	0.744	0.023
84.31	8	0	0
59.74	7	0	0.429
115.96	15	0	0
71.19	18	0	0
53.3	24	0	0.583
124.88	31	0.355	0.194
77.16	19	0.105	0.158
70.83	7	0	0
71.65	20	0	0.05
83.72	14	0	0.143
54.65	17	0.176	0.588
72	17	0	0.176
59.74	16	0.125	0.313
71.48	5	0	0.2
68.25	8	0	0
61.43	17	0	0.235
77.59	15	0	0
62.89	16	0	0.063
61.13	11	0	0.091
62.38	21	0	0.286
71.1	8	0.25	0.125
56.92	7	0	0.429
67.61	51	0.608	0.137
62.4	24	0	0.208
59.38	42	0.024	0.81
59.98	10	0	0.1
79.14	12	0	0.25
163.6	17	0	0
81.87	23	0	0
84.47	54	0.5	0.037
64.4	28	0	0.107
71.26	20	0	0
58.32	20	0	0.15
60.83	33	0.121	0.303
70.79	24	0	0.125
71.64	33	0	0.03
61.49	5	0	0.4
196.96	25	0.2	0
69.56	24	0	0
70.49	15	0.133	0.133
69.06	9	0.333	0
150.35	50	0.56	0.04
60.79	20	0	0.35
75.17	13	0	0
63.37	11	0	0.091
245.01	24	0.25	0
63.26	19	0	0.211
63.47	17	0	0
74.92	13	0	0.077
81.63	8	0	0
185.94	23	0.087	0
63.67	17	0	0.059
115.7	41	0.561	0.024
76.31	8	0	0.125
90.17	19	0	0
72.64	37	0	0.054
100.38	33	0	0
57.91	11	0	0.091
58.93	10	0	0.3
157.36	26	0	0
63.27	26	0.115	0.115
76.08	40	0.025	0.075
46.8	12	0	0.583
63.1	48	0.063	0.125
71.67	7	0	0.143
68.48	33	0.212	0.455
66.05	6	0	0
143.11	30	0.233	0.133
65.72	27	0	0.111
73.81	20	0	0
102.02	8	0.125	0
67.05	49	0	0.082
60.14	28	0	0.25
80.28	12	0.083	0.083
53	7	0	0
61.34	24	0	0.333
63.38	5	0	0.4
71.88	21	0	0
61.69	31	0.065	0.097
82.79	10	0	0.2
90	17	0	0.059
131.63	27	0	0
77.07	8	0	0
215.35	66	0.106	0
59.19	30	0	0.267
76.31	23	0.043	0
91.87	22	0	0.045
177.86	23	0	0.043
109.78	17	0	0
80.06	22	0.045	0.045
154.98	57	0.842	0
89.02	14	0	0.143
62.41	15	0	0.267
72.64	27	0	0.074
78.1	40	0.075	0.05
82.39	36	0.028	0.028
63.09	21	0.143	0.571
92.02	7	0	0
80.86	16	0.063	0.125
60.35	20	0	0.05
66.42	7	0	0.143
74.11	32	0.063	0.031
87.93	24	0.042	0.042
60.37	29	0.103	0.241
81.05	32	0	0
67.12	13	0	0.231
74.33	14	0	0.286
58.94	23	0	0.13
89.47	44	0.5	0.045
57.56	8	0	0.25
89.09	17	0	0.118
68.63	14	0.143	0.214
77.28	32	0.375	0.031
82.89	16	0	0
50.85	7	0	0.857
64.68	20	0	0.05
87.96	13	0.077	0
69.5	69	0.478	0.043
73.91	38	0	0.053
81.02	14	0	0.071
84.22	8	0	0
65.52	20	0	0
87.66	35	0	0.143
114.49	5	0	0
62.47	14	0	0.071
63.22	28	0.036	0.036
66.37	15	0	0.133
87.56	43	0.651	0
79.96	13	0	0.077
47.69	6	0	0.167
51.34	21	0	0.095
67.68	18	0	0.278
72.96	43	0.023	0
93.81	30	0	0.033
173.61	7	0	0.143
59.18	21	0	0.238
91.86	23	0	0
67.45	16	0.125	0.125
87.77	11	0	0.364
48.44	7	0	0.571
51.68	21	0	0.238
66.45	26	0.115	0.038
72.9	33	0	0.121
78.77	29	0.379	0.034
79.6	40	0	0
66.27	17	0	0.059
71.88	54	0.407	0.037
75.45	10	0	0
81.37	21	0	0
95.74	36	0.111	0.056
271.88	14	0.214	0.071
79.11	23	0	0.087
76.19	44	0.682	0.023
65.38	7	0	0
65.72	34	0.059	0.176
57.56	7	0	0.143
69.08	33	0.182	0.091
73.96	76	0.382	0.053
88.14	19	0	0.053
94.15	48	0.083	0.083
65.82	15	0.067	0.2
61.53	20	0	0.15
63.14	20	0.05	0.05
66.09	20	0	0
64.33	15	0	0.333
84.29	17	0	0.059
66.49	21	0	0.095
71.54	15	0	0
81.45	21	0	0.571
71.69	12	0.083	0.167
69.04	33	0	0.03
72.17	25	0	0.04
53.45	6	0.167	0.333
29.95	6	0.167	0.667
50.49	7	0	0.143
61.85	31	0	0.032
76.05	11	0.091	0.182
31.5	7	0	0.286
64.29	19	0	0.105
60.3	14	0	0.357
61.8	45	0.267	0.267
69.53	23	0	0.174
57.45	34	0	0.176
60.64	18	0.056	0.056
71.81	49	0.388	0
75.64	18	0	0.111
74.47	38	0.263	0.053
84.93	26	0	0
35.43	8	0	0.625
33.91	8	0.125	0.125
80.5	24	0	0.167
58.51	31	0	0.097
70.29	15	0	0.267
63.31	32	0	0.188
67.36	19	0	0.105
62.56	21	0	0.143
81.26	43	0.023	0.023
82.53	29	0.138	0.069
61.59	44	0.023	0.136
65.58	22	0	0.091
76.64	45	0.178	0.044
63.95	35	0	0.171
65.14	18	0	0.111
65.59	24	0	0.042
67.79	10	0.1	0.1
73.98	35	0.029	0.057
98	49	0.408	0.061
152.88	79	0.582	0.013
55.55	10	0	0.3
74.13	25	0	0.12
66	44	0.182	0.409
60.46	14	0	0
73.31	15	0	0.133
81.66	12	0	0
105.88	22	0	0
65.01	26	0	0.154
64.57	21	0	0.19
68.65	7	0	0.143
71.21	16	0	0.188
247.93	24	0.208	0
45.31	13	0	0.308
61.44	17	0	0.176
66.92	45	0	0.156
77.89	28	0	0.071
57.5	23	0	0.174
47.8	11	0	0.364
