pigid,weeknumber,weight,TimeM2Plus,TimeM3Plus,TimeM4Plus,TimeM5Plus,TimeM6Plus,TimeM7Plus,TimeM8Plus
41,5,43.5,3,2,1,0,0,0,0
41,6,49.5,4,3,2,1,0,0,0
41,7,56.5,5,4,3,2,1,0,0
41,8,61,6,5,4,3,2,1,0
41,9,65,7,6,5,4,3,2,1
42,1,24,0,0,0,0,0,0,0
42,2,32,0,0,0,0,0,0,0
42,3,39,1,0,0,0,0,0,0
42,4,44.5,2,1,0,0,0,0,0
42,5,50,3,2,1,0,0,0,0
42,6,56,4,3,2,1,0,0,0
42,7,63,5,4,3,2,1,0,0
42,8,67.5,6,5,4,3,2,1,0
42,9,74,7,6,5,4,3,2,1
43,1,24.5,0,0,0,0,0,0,0
43,2,31,0,0,0,0,0,0,0
43,3,37.5,1,0,0,0,0,0,0
43,4,43.5,2,1,0,0,0,0,0
43,5,48,3,2,1,0,0,0,0
43,6,56,4,3,2,1,0,0,0
43,7,62.5,5,4,3,2,1,0,0
43,8,66.5,6,5,4,3,2,1,0
43,9,70.5,7,6,5,4,3,2,1
44,1,27,0,0,0,0,0,0,0
44,2,34.5,0,0,0,0,0,0,0
44,3,42,1,0,0,0,0,0,0
44,4,48.5,2,1,0,0,0,0,0
44,5,53,3,2,1,0,0,0,0
44,6,60,4,3,2,1,0,0,0
44,7,67,5,4,3,2,1,0,0
44,8,73,6,5,4,3,2,1,0
44,9,76,7,6,5,4,3,2,1
45,1,31,0,0,0,0,0,0,0
45,2,39,0,0,0,0,0,0,0
45,3,47.5,1,0,0,0,0,0,0
45,4,51,2,1,0,0,0,0,0
45,5,57,3,2,1,0,0,0,0
45,6,64,4,3,2,1,0,0,0
45,7,71,5,4,3,2,1,0,0
45,8,77,6,5,4,3,2,1,0
45,9,80.5,7,6,5,4,3,2,1
46,1,27,0,0,0,0,0,0,0
46,2,33.5,0,0,0,0,0,0,0
46,3,40,1,0,0,0,0,0,0
46,4,46.5,2,1,0,0,0,0,0
46,5,53,3,2,1,0,0,0,0
46,6,60,4,3,2,1,0,0,0
46,7,66.5,5,4,3,2,1,0,0
46,8,72.5,6,5,4,3,2,1,0
46,9,80,7,6,5,4,3,2,1
47,1,29.5,0,0,0,0,0,0,0
47,2,37,0,0,0,0,0,0,0
47,3,46,1,0,0,0,0,0,0
47,4,52.5,2,1,0,0,0,0,0
47,5,60,3,2,1,0,0,0,0
47,6,67.5,4,3,2,1,0,0,0
47,7,76,5,4,3,2,1,0,0
47,8,81.5,6,5,4,3,2,1,0
47,9,88,7,6,5,4,3,2,1
48,1,28.5,0,0,0,0,0,0,0
48,2,36,0,0,0,0,0,0,0
48,3,42.5,1,0,0,0,0,0,0
48,4,49,2,1,0,0,0,0,0
48,5,55,3,2,1,0,0,0,0
48,6,63.5,4,3,2,1,0,0,0
48,7,72,5,4,3,2,1,0,0
48,8,78.5,6,5,4,3,2,1,0
48,9,85.5,7,6,5,4,3,2,1
